id	1_pe	2_pe	3_pe	4_pe	5_pe	6_pe	7_pe	8_pe	geneCoordinate	geneSymbol	logFC	LimmaVoom.pvalue	BH.qvalue
ENSMUSG00000070691	4	3	7	3	0	1	0	0	chr4:135120452-135178190	Runx3	-2.4333361324565	9.31505909685343e-05	0.153252822040192
ENSMUSG00000032575	2115	1818	1627	1639	1114	1325	1172	1180	chr9:106838112-106892179	Manf	-0.581728345177767	9.94768233274408e-05	0.153252822040192
ENSMUSG00000031289	28	25	20	20	4	9	5	4	chrX:147383276-147429392	Il13ra2	-1.9985793791519	0.000101188667451242	0.153252822040192
ENSMUSG00000029661	989	1314	926	825	516	584	521	331	chr6:4504614-4541744	Col1a2	-1.06255826725902	0.000106897313886478	0.153252822040192
ENSMUSG00000067038	1	0	0	0	3	1	4	3	chr19:59322090-59322983	Rps12-ps3	2.46794162511117	0.00010835365661723	0.153252822040192
ENSMUSG00000054619	1537	1466	1481	1503	1151	1141	1179	1071	chr15:100304617-100314548	Mettl7a1	-0.398706210394637	0.000116766139358085	0.153252822040192
ENSMUSG00000024650	309	365	207	321	95	156	92	48	chr19:8617796-8628499	Slc22a6	-1.70491511355129	0.000118920741464263	0.153252822040192
ENSMUSG00000015090	33961	47869	24929	39286	15083	21206	15215	10136	chr2:25466509-25470246	Ptgds	-1.25305741830537	0.000126536164080524	0.153252822040192
ENSMUSG00000026043	288	223	195	200	69	132	111	67	chr1:45311338-45349906	Col3a1	-1.3003970011513	0.000126652427667951	0.153252822040192
ENSMUSG00000030357	5640	5273	5841	5757	4350	4547	4453	4375	chr6:128429535-128438877	Fkbp4	-0.34394408368111	0.000153298865085978	0.153252822040192
ENSMUSG00000071005	4	6	5	6	0	1	1	1	chr4:42754325-42756777	Ccl19	-2.36364643158793	0.000155831077653749	0.153252822040192
ENSMUSG00000105843	304	402	412	374	242	108	149	70	chr3:88030678-88033350	Gm42644	-1.52239332007441	0.000156359707167455	0.153252822040192
ENSMUSG00000030711	261	277	297	377	186	174	133	165	chr7:126672665-126676632	Sult1a1	-0.875568485662513	0.000170035358305979	0.153252822040192
ENSMUSG00000079293	23	35	33	39	10	4	10	8	chr6:129461391-129472979	Clec7a	-2.00773058157181	0.000178064773586424	0.153252822040192
ENSMUSG00000070436	1023	1074	993	914	681	771	605	506	chr7:99345176-99353439	Serpinh1	-0.658564574148898	0.000181760227659624	0.153252822040192
ENSMUSG00000030154	6	6	5	4	1	0	1	0	chr6:129045701-129057664	Klrb1f	-2.17466283485947	0.000182690049087579	0.153252822040192
ENSMUSG00000004951	316	242	202	206	121	123	123	75	chr5:135887719-135889763	Hspb1	-1.13332821725332	0.000186656396874933	0.153252822040192
ENSMUSG00000036777	2072	2368	2327	2367	1889	1158	1341	1148	chr9:22331014-22389406	Anln	-0.750523147446421	0.000190699578333486	0.153252822040192
ENSMUSG00000027248	10752	10498	9485	10074	7715	8510	7909	7868	chr2:121413575-121438887	Pdia3	-0.350126593442762	0.000192757301224376	0.153252822040192
ENSMUSG00000030218	801	1135	738	1060	470	543	502	298	chr6:136872235-136876023	Mgp	-1.05303484467844	0.000194270635068756	0.153252822040192
ENSMUSG00000030108	494	510	394	531	227	296	218	110	chr6:121300027-121337933	Slc6a13	-1.25873462756237	0.000198029859600759	0.153252822040192
ENSMUSG00000057836	36	34	63	71	16	13	6	9	chrX:73086093-73097295	Xlr3a	-2.15461640137775	0.000201695283323005	0.153252822040192
ENSMUSG00000000303	82	133	109	131	26	72	21	15	chr8:106603151-106670446	Cdh1	-1.98793846265257	0.000233255486010459	0.172169206445548
ENSMUSG00000024087	325	335	256	233	182	153	147	110	chr17:79706753-79715241	Cyp1b1	-0.959565740331974	0.000244354641098064	0.175351605503539
ENSMUSG00000032231	463	600	604	619	324	427	296	251	chr9:69453420-69491995	Anxa2	-0.831693618086477	0.000254956850324694	0.178015007332112
ENSMUSG00000060591	236	294	229	282	175	148	154	115	chr7:140954639-140956161	Ifitm2	-0.821477310127718	0.00026920205707617	0.179120245566338
ENSMUSG00000049241	85	81	77	67	18	48	26	12	chr5:123876536-123880220	Hcar1	-1.73035327511755	0.000276520856263955	0.179120245566338
ENSMUSG00000032060	3296	3685	3177	3862	2863	2348	2349	1987	chr9:50752558-50756833	Cryab	-0.561687665332418	0.000285080038850713	0.179120245566338
ENSMUSG00000026638	49	52	46	45	17	22	25	17	chr1:193152911-193172223	Irf6	-1.23884611704434	0.000285957567228039	0.179120245566338
ENSMUSG00000022548	4930	6466	5715	6365	4420	3118	3389	2233	chr16:31295992-31315008	Apod	-0.868596841177897	0.000295388142407961	0.179120245566338
ENSMUSG00000013584	403	584	295	485	192	232	184	114	chr9:71215589-71296443	Aldh1a2	-1.29135374707946	0.000298140843824129	0.179120245566338
ENSMUSG00000019539	301	319	285	360	216	196	191	221	chr7:45082714-45092413	Rcn3	-0.615255838752127	0.000330219989149045	0.187013226600195
ENSMUSG00000040055	2853	2593	2818	3486	2357	1844	1959	1731	chr14:57123103-57133811	Gjb6	-0.575649830118131	0.000330251034586992	0.187013226600195
ENSMUSG00000040310	109	151	102	100	43	73	48	36	chr2:93642184-93681539	Alx4	-1.22535685818256	0.000337247943680297	0.187013226600195
ENSMUSG00000031367	2130	2323	2326	2175	1581	1778	1849	1688	chrX:163908817-163933866	Ap1s2	-0.37783898741126	0.000345825357250926	0.187013226600195
ENSMUSG00000023272	747	623	648	589	460	457	486	419	chr15:88819446-88826881	Creld2	-0.512695190053584	0.000350457129453046	0.187013226600195
ENSMUSG00000038155	11	11	5	12	2	2	2	2	chr19:4040085-4042436	Gstp2	-1.96171474988954	0.000354712708191126	0.187013226600195
ENSMUSG00000107215	5	3	2	3	1	0	0	0	chr6:3336572-3339554	Gm43197	-2.10641339718299	0.000381415628496801	0.190726275258679
ENSMUSG00000074896	421	309	279	281	217	158	175	171	chr19:34583331-34588931	Ifit3	-0.830338736554839	0.000383556337009843	0.190726275258679
ENSMUSG00000020484	3826	3304	3083	3353	2508	2764	2528	2321	chr11:5520459-5526093	Xbp1	-0.420933711119331	0.000387120835855391	0.190726275258679
ENSMUSG00000034435	5	6	8	4	1	2	0	1	chr12:73542914-73546595	Tmem30b	-2.34875715620932	0.000391286389591622	0.190726275258679
ENSMUSG00000022766	201	202	123	221	83	104	50	37	chr16:17331171-17343775	Serpind1	-1.52127237863109	0.000415728220206456	0.198663821421018
ENSMUSG00000005125	4944	5321	5098	6312	4400	3433	3877	3075	chr15:66929121-66969840	Ndrg1	-0.558146377373432	0.000436053657486522	0.198663821421018
ENSMUSG00000038393	1067	1175	1135	1136	877	891	652	628	chr3:96557757-96562083	Txnip	-0.584362557907634	0.000436569739892819	0.198663821421018
ENSMUSG00000041548	788	1074	977	1025	684	698	664	567	chr5:116408291-116423064	Hspb8	-0.559621992784468	0.000438330797437409	0.198663821421018
ENSMUSG00000034165	939	1070	978	909	743	775	728	704	chr17:47504851-47599891	Ccnd3	-0.39901778085626	0.000492525011293796	0.213621793881064
ENSMUSG00000027048	4	3	5	2	0	0	1	1	chr2:69238082-69342816	Abcb11	-2.19248412994793	0.000493789262590634	0.213621793881064
ENSMUSG00000073418	1219	1067	998	1051	862	631	793	756	chr17:34728180-34744082	C4b	-0.516645555144382	0.000496141040213045	0.213621793881064
ENSMUSG00000025823	2556	2532	1955	1938	1349	1594	1686	1455	chr6:47795941-47813630	Pdia4	-0.5541898595523	0.000520844074295408	0.220581734677829
ENSMUSG00000031070	81	36	54	61	12	14	30	13	chr7:145300628-145309757	Mrgprf	-1.76607398728038	0.000530565185149551	0.221074532147637
ENSMUSG00000032179	67	60	61	81	24	32	26	7	chr9:75775164-75900510	Bmp5	-1.73836236774975	0.000546008409418123	0.223898115062028
ENSMUSG00000043795	6	5	10	8	2	1	1	2	chr7:142490874-142506971	Prr33	-2.02461533253855	0.00057715410238013	0.230820939666345
ENSMUSG00000048368	63	124	41	81	7	36	6	13	chr13:49582566-49592809	Omd	-2.52072009175944	0.000580760280185509	0.230820939666345
ENSMUSG00000066861	6	4	1	5	0	0	1	0	chr5:120875942-120887813	Oas1g	-2.34101124659133	0.000600629887027297	0.235101098507018
ENSMUSG00000024371	27	34	34	40	11	18	10	7	chr17:34862404-34898465	C2	-1.51718965488234	0.000616219179599455	0.237603078892124
ENSMUSG00000035069	303	273	332	344	215	183	216	225	chr4:103313612-103372068	Oma1	-0.575892322120188	0.00069990718165073	0.26590297251125
ENSMUSG00000051351	1176	1217	1178	1355	1496	1639	1624	1529	chr4:136284483-136294142	Zfp46	0.353678113775655	0.000722711379232657	0.267421999801573
ENSMUSG00000032006	319	450	425	323	273	235	208	210	chr9:6168412-6379043	Pdgfd	-0.703234617688564	0.000743588337964367	0.267421999801573
ENSMUSG00000037884	3	1	2	3	0	1	0	0	chr3:40504667-40523112	1700017G19Rik	-2.00198120213101	0.000763312455506519	0.267421999801573
ENSMUSG00000024197	718	976	833	849	679	581	513	455	chr17:56278762-56290711	Plin3	-0.607077896600373	0.000766326991568903	0.267421999801573
ENSMUSG00000032556	173	230	171	242	118	119	118	128	chr9:103424720-103480620	Bfsp2	-0.736283771399161	0.000786946008519147	0.267421999801573
ENSMUSG00000039899	189	175	155	151	83	102	102	120	chr5:21372442-21378574	Fgl2	-0.726634383876476	0.000787880009344173	0.267421999801573
ENSMUSG00000019232	594	799	1143	879	545	470	466	399	chr3:130617248-130637721	Etnppl	-0.829346412467802	0.000790530567286452	0.267421999801573
ENSMUSG00000020884	60	90	49	77	29	34	25	13	chr11:70053885-70058094	Asgr1	-1.46910836718876	0.000794876733897829	0.267421999801573
ENSMUSG00000074743	1003	1210	749	859	691	615	520	483	chr2:148404266-148408388	Thbd	-0.717506844890485	0.000797069520195136	0.267421999801573
ENSMUSG00000001506	460	509	436	364	286	317	314	261	chr11:94936024-94953242	Col1a1	-0.578994046462229	0.000808316329958745	0.267718513694285
ENSMUSG00000108108	0	0	0	0	2	4	2	5	chr6:146762381-146764014	Gm44270	2.0879908319202	0.000843826975127996	0.274524660186693
ENSMUSG00000026830	3281	4331	4178	4407	3468	2282	2299	1853	chr2:58044913-58053064	Ermn	-0.738716299990957	0.000850118944605381	0.274524660186693
ENSMUSG00000068220	536	609	560	637	458	458	384	409	chr15:78926525-78930665	Lgals1	-0.456101050817321	0.000867516726312197	0.274685691900291
ENSMUSG00000032352	445	587	519	476	354	355	334	223	chr9:77430623-77545070	Lrrc1	-0.696075268660094	0.000871883050856386	0.274685691900291
ENSMUSG00000070287	554	586	642	659	483	417	456	453	chr9:100551988-100571290	Slc35g2	-0.430207761984398	0.000884982444882591	0.27545345157948
ENSMUSG00000085048	0	0	0	1	2	1	3	2	chr16:3927589-3929557	Gm15537	1.82212539181129	0.000914924106397928	0.281382730531953
ENSMUSG00000041559	793	985	455	677	209	492	240	105	chr1:134037054-134048477	Fmod	-1.63117233128351	0.000930085480314	0.282444585418263
ENSMUSG00000046352	444	490	324	517	213	313	265	162	chr14:57098400-57104902	Gjb2	-0.913121606492823	0.000941568286180304	0.282444585418263
ENSMUSG00000104864	1	2	2	3	0	0	0	0	chr3:159491218-159491839	Gm43655	-1.7666701966402	0.000951175928287873	0.282444585418263
ENSMUSG00000032085	422	420	381	376	310	243	273	167	chr9:45929428-45936258	Tagln	-0.721392298567745	0.000998267553929378	0.293059590775131
ENSMUSG00000097786	1	2	2	2	0	0	1	1	chr3:30792370-30793764	4933429H19Rik	-1.80484980860279	0.00101951858026222	0.293315779517299
ENSMUSG00000026864	17943	15507	12900	11886	8638	11394	9660	9657	chr2:34771770-34777747	Hspa5	-0.554073778010055	0.00102184795837102	0.293315779517299
ENSMUSG00000030109	94	128	42	85	29	30	21	10	chr6:121342876-121365975	Slc6a12	-1.97930218057826	0.00104272383576612	0.296018984320681
ENSMUSG00000108329	0	0	0	0	2	1	1	1	chr7:73089223-73092816	RP24-136L4.3	1.69951061601637	0.00108079195496412	0.303491080049381
ENSMUSG00000024659	92	135	120	164	65	68	72	41	chr19:20373228-20391144	Anxa1	-1.04912254699437	0.00110762648155704	0.306429075203821
ENSMUSG00000079644	5	17	21	8	1	5	3	2	chr9:26879367-26923281	Gm1110	-2.24149645549788	0.00111504873758855	0.306429075203821
ENSMUSG00000024048	862	1180	980	1014	760	787	704	670	chr17:70993456-71003078	Myl12a	-0.46002563080648	0.00113504634219439	0.306429075203821
ENSMUSG00000051295	33	18	31	35	5	4	17	9	chr1:185429157-185442019	9630028B13Rik	-1.88594148024043	0.00114298725175099	0.306429075203821
ENSMUSG00000029810	1029	1322	1145	1361	901	929	903	850	chr6:48833618-48841696	Tmem176b	-0.429924113227339	0.00115630827027396	0.306429075203821
ENSMUSG00000064215	1247	1721	1573	1395	949	1133	1127	1058	chr12:103434011-103440439	Ifi27	-0.4690614435368	0.00116342186597378	0.306429075203821
ENSMUSG00000019916	2786	2350	2539	2345	2042	1981	2035	1905	chr10:59323096-59373504	P4ha1	-0.32833074247799	0.00118422859165924	0.306429075203821
ENSMUSG00000106930	7	14	5	14	3	2	2	0	chr5:93003631-93004604	Gm6450	-2.08821121539813	0.00118614645507401	0.306429075203821
ENSMUSG00000036446	250	335	246	209	139	141	190	148	chr10:97565301-97572903	Lum	-0.741920779361486	0.00121618266321093	0.310487921600576
ENSMUSG00000086459	1	2	5	6	1	0	0	0	chr11:23497553-23499861	1700030C12Rik	-2.26636576870403	0.00122589486735537	0.310487921600576
ENSMUSG00000017344	2054	2184	1915	2286	1533	1474	1530	878	chr11:78498891-78502524	Vtn	-0.672733186801321	0.0012591748053899	0.315820601188763
ENSMUSG00000042388	10446	9196	10302	10626	12007	12356	11904	13350	chr4:127169004-127237222	Dlgap3	0.29122794149126	0.00127462190971418	0.316620984764962
ENSMUSG00000057499	2	4	4	0	0	0	0	0	chr1:160892920-160893784	Gm6177	-1.95950733985502	0.0013059779437277	0.319612648825956
ENSMUSG00000086850	1	0	0	1	3	1	3	3	chr4:133479156-133482726	Gm13257	1.93752751926553	0.00133178900500105	0.319612648825956
ENSMUSG00000095134	1	2	1	1	10	6	17	3	chrY:90752857-90763685	Gm21857	2.3577420190427	0.00133600832776828	0.319612648825956
ENSMUSG00000014846	1005	1051	1493	1413	936	846	689	695	chr8:105467293-105471726	Tppp3	-0.638275309531885	0.00133615259244419	0.319612648825956
ENSMUSG00000028024	110	144	120	122	85	83	68	63	chr3:129268975-129332920	Enpep	-0.730293703995765	0.00138052287367748	0.320731954553203
ENSMUSG00000056220	159	198	206	189	136	94	131	77	chr1:149829418-149961490	Pla2g4a	-0.809047097093145	0.00140074452922636	0.320731954553203
ENSMUSG00000004044	956	1121	936	984	822	709	695	495	chr11:100956533-100971087	Ptrf	-0.573725344299809	0.001403515509336	0.320731954553203
ENSMUSG00000028676	3177	2580	2601	2649	2181	2260	2051	2138	chr4:135855547-135870108	Srsf10	-0.346475683674835	0.00141815546719257	0.320731954553203
ENSMUSG00000077167	8	6	7	2	0	1	1	1	chr10:91118091-91118736	Gm24119	-2.28243622365325	0.00141965767890506	0.320731954553203
ENSMUSG00000020310	4	7	5	2	0	1	0	1	chr10:79664374-79668736	Madcam1	-2.23750771668569	0.00142964241502515	0.320731954553203
ENSMUSG00000027820	336	420	439	337	266	275	272	250	chr3:63241337-63386230	Mme	-0.518169676449585	0.0014416711231693	0.320731954553203
ENSMUSG00000040723	203	216	230	215	168	154	138	142	chr1:165646316-165709957	Rcsd1	-0.524121972989308	0.00145029375036897	0.320731954553203
ENSMUSG00000062742	8	7	8	6	2	3	1	3	chr18:35536383-35537151	Gm5239	-1.67869872452272	0.00146107640634486	0.320731954553203
ENSMUSG00000032278	249	315	302	209	167	164	140	70	chr9:61953281-62027056	Paqr5	-1.04967399435857	0.00147578635025183	0.320731954553203
ENSMUSG00000029163	169	164	115	120	83	86	81	49	chr5:30913202-30921477	Emilin1	-0.936159680513143	0.00148376525868824	0.320731954553203
ENSMUSG00000003617	850	967	803	771	662	587	597	388	chr3:19956854-20009345	Cp	-0.62302353059136	0.00148982438686976	0.320731954553203
ENSMUSG00000002831	401	392	292	281	268	85	187	96	chr17:56100391-56110003	Plin4	-1.23518064264237	0.00150707168728568	0.320731954553203
ENSMUSG00000053931	3670	4126	4343	4488	3463	3149	3398	3278	chr3:121426297-121458407	Cnn3	-0.320356256849414	0.00154134094973216	0.320731954553203
ENSMUSG00000015839	709	912	831	820	629	641	622	513	chr2:75675313-75704841	Nfe2l2	-0.444014085595866	0.00154940795010505	0.320731954553203
ENSMUSG00000004707	12	12	18	13	5	1	4	4	chr1:171588424-171607610	Ly9	-2.18101691299485	0.00155606033096321	0.320731954553203
ENSMUSG00000022125	538	708	623	664	528	444	434	402	chr14:103070016-103077779	Cln5	-0.486422607279459	0.0015643130999135	0.320731954553203
ENSMUSG00000079507	60	39	22	54	9	26	5	6	chr17:35320205-35325299	H2-Q1	-2.10259165340041	0.00157229495608194	0.320731954553203
ENSMUSG00000081461	4	2	6	5	0	1	2	0	chrX:12456686-12457430	Rpl30-ps11	-2.06689329779738	0.00157697005735042	0.320731954553203
ENSMUSG00000069808	558	660	580	609	457	480	465	457	chr11:76179471-76215027	Fam57a	-0.369283669414813	0.00158913409393861	0.320731954553203
ENSMUSG00000031770	2292	2122	2089	2050	1669	1800	1841	1611	chr8:94386238-94395577	Herpud1	-0.306215582764809	0.00162992948409445	0.32352545526984
ENSMUSG00000023367	441	448	438	477	315	369	362	311	chr6:48840719-48847271	Tmem176a	-0.412556228422936	0.00164452988319064	0.32352545526984
ENSMUSG00000032854	2913	3950	4064	4285	3275	2313	2150	1841	chr3:125865071-125938819	Ugt8a	-0.684786707182706	0.00165190863008264	0.32352545526984
ENSMUSG00000081512	0	0	1	0	2	3	3	4	chr17:34211112-34214659	Gm15821	1.80087011246016	0.00165306805355806	0.32352545526984
ENSMUSG00000028978	323	285	271	272	217	205	212	193	chr5:24364610-24384674	Nos3	-0.471548910232822	0.00167618415850214	0.324197175387887
ENSMUSG00000008999	596	969	593	538	267	479	355	162	chr2:172867812-172940521	Bmp7	-1.15941532836768	0.001681598726561	0.324197175387887
ENSMUSG00000007682	3900	2996	3799	3665	3215	2421	2396	2258	chr12:90724354-90738638	Dio2	-0.487495734366865	0.00170218048816344	0.3257343017127
ENSMUSG00000106157	3	2	1	3	0	0	0	0	chr3:151293926-151296841	4930555A03Rik	-1.74854396827274	0.00174728397625348	0.331906869430385
ENSMUSG00000098274	737	774	766	984	623	585	617	589	chr16:55966075-55971635	Rpl24	-0.424660364336206	0.00177362226117639	0.332634072387331
ENSMUSG00000060586	72	164	112	109	53	56	55	33	chr17:34305677-34316399	H2-Eb1	-1.17121980184639	0.00177686389987813	0.332634072387331
ENSMUSG00000025492	294	413	362	392	238	241	286	189	chr7:141009386-141010970	Ifitm3	-0.618671599012808	0.00179199154590393	0.332871032079228
ENSMUSG00000031232	833	1057	878	822	763	657	566	507	chrX:105967884-106012106	Magt1	-0.535203307831873	0.00182323875846964	0.332871032079228
ENSMUSG00000027680	2974	2886	2814	2790	2297	2496	2444	2325	chr3:34019743-34070522	Fxr1	-0.262386535109998	0.00182852730329483	0.332871032079228
ENSMUSG00000097519	0	0	0	0	4	3	2	1	chr1:57359022-57377744	4930558J18Rik	1.83557395324691	0.00184749055068206	0.332871032079228
ENSMUSG00000100872	5	3	5	1	1	0	0	0	chr1:192841461-192842940	1700065J18Rik	-1.95071072192506	0.0018604755275271	0.332871032079228
ENSMUSG00000015575	647	912	805	801	632	580	529	444	chr17:26676196-26699844	Atp6v0e	-0.535382837445875	0.00186389374458429	0.332871032079228
ENSMUSG00000018102	1165	1060	1340	1340	935	864	852	1032	chr13:23683999-23692688	Hist1h2bc	-0.410652236205028	0.001903630505237	0.332871032079228
ENSMUSG00000026365	1316	1739	1195	1226	1067	1004	826	693	chr1:140084508-140183964	Cfh	-0.612701986268685	0.0019160708423008	0.332871032079228
ENSMUSG00000085236	3	6	2	4	1	1	0	0	chr7:84689440-84779253	2610206C17Rik	-1.78589881233181	0.00194913186250836	0.332871032079228
ENSMUSG00000046733	5	9	8	16	1	4	2	0	chr6:135065451-135084909	Gprc5a	-2.35936357170386	0.00194965122496522	0.332871032079228
ENSMUSG00000098447	1	2	7	5	2	0	0	0	chr1:119519890-119526559	Gm27184	-2.31255300061877	0.00196505787851869	0.332871032079228
ENSMUSG00000038738	14615	12970	14294	13283	17972	16106	15413	18138	chr7:44310053-44360772	Shank1	0.29223643319719	0.00196671305633128	0.332871032079228
ENSMUSG00000024778	71	78	71	93	59	26	45	31	chr19:34290459-34327970	Fas	-1.01827380664261	0.00197770093032447	0.332871032079228
ENSMUSG00000028776	404	406	393	314	287	251	247	149	chr4:130164254-130175322	Tinagl1	-0.735587050579026	0.00197778989340653	0.332871032079228
ENSMUSG00000026922	65	64	56	63	28	35	44	27	chr2:26592857-26604617	Agpat2	-0.894291138645424	0.00198259524208902	0.332871032079228
ENSMUSG00000009185	2	4	1	3	0	0	0	0	chr11:82114985-82116999	Ccl8	-1.85900343203609	0.00200280742144115	0.332871032079228
ENSMUSG00000017897	142	140	145	155	54	105	103	81	chr2:165594832-165771927	Eya2	-0.809899645615839	0.00201120744249356	0.332871032079228
ENSMUSG00000032359	423	541	481	516	418	344	325	293	chr9:90053952-90076289	Ctsh	-0.513502050405541	0.00201232793907119	0.332871032079228
ENSMUSG00000031887	205	241	235	221	164	147	168	164	chr8:105258086-105264809	Tradd	-0.486439640780647	0.00202928056306915	0.332871032079228
ENSMUSG00000108617	2	2	2	1	6	4	4	6	chr7:127031268-127035491	RP23-142A14.9	1.74076654055244	0.00203582964575823	0.332871032079228
ENSMUSG00000074794	2157	2836	2324	2514	2180	1661	1782	1581	chr13:80883184-80896235	Arrdc3	-0.452187432589602	0.00207690318037671	0.336660303703897
ENSMUSG00000027654	122	96	129	112	92	38	61	56	chr2:158767893-158786837	Fam83d	-0.950797177422138	0.00208506807279645	0.336660303703897
ENSMUSG00000022136	4015	4781	4201	3410	3387	3157	2952	2770	chr14:118937732-118981902	Dnajc3	-0.412939558953218	0.00210304314006645	0.337453518512277
ENSMUSG00000054580	29	23	32	26	11	15	14	5	chr2:60417343-60553508	Pla2r1	-1.35725270510963	0.00213695263899335	0.340777990591075
ENSMUSG00000083240	11	7	25	12	3	3	2	4	chr2:40127304-40128060	Gm13453	-1.77998986438097	0.00220944587330383	0.341797546801325
ENSMUSG00000078970	431	369	398	475	265	296	305	339	chr11:17181907-17233996	Wdr92	-0.470701453277518	0.00222817566829063	0.341797546801325
ENSMUSG00000045954	565	809	708	519	489	419	384	263	chr1:51288926-51303160	Sdpr	-0.753572266201221	0.00223120438990389	0.341797546801325
ENSMUSG00000024053	212	271	241	204	178	146	157	107	chr17:71251976-71311165	Emilin2	-0.669981643648453	0.00224288171243473	0.341797546801325
ENSMUSG00000037206	742	1179	622	950	571	465	575	430	chr9:58156065-58159421	Islr	-0.74413508962221	0.00225712360437639	0.341797546801325
ENSMUSG00000028137	4815	4236	4233	4236	5522	4870	5626	5371	chr3:94478095-94492398	Celf3	0.287950798535905	0.00231333272526441	0.341797546801325
ENSMUSG00000029419	211	173	189	154	259	295	248	243	chr2:25575216-25581957	Gm996	0.524945841102219	0.00231609426493194	0.341797546801325
ENSMUSG00000015222	47544	43507	45129	46832	54506	54397	49764	55410	chr1:66175073-66442783	Map2	0.225784678506054	0.00232155992250349	0.341797546801325
ENSMUSG00000018474	30201	27154	28833	26066	32268	32217	33506	34988	chr11:69343073-69369606	Chd3	0.245864166976082	0.00232668369961376	0.341797546801325
ENSMUSG00000022462	5491	6212	5694	5357	5032	4472	4635	3832	chr15:96687194-96699898	Slc38a2	-0.344930509035596	0.00233769117449449	0.341797546801325
ENSMUSG00000032092	111	123	100	107	60	67	53	17	chr9:45042225-45054215	Mpzl2	-1.32205296777637	0.00236749540284186	0.341797546801325
ENSMUSG00000022237	3164	2876	2713	2646	3631	3489	3324	3452	chr15:31291279-31367959	Ankrd33b	0.288440226843905	0.00237294804916172	0.341797546801325
ENSMUSG00000026173	588	698	744	776	589	484	502	495	chr1:74542688-74567994	Plcd4	-0.434642857525728	0.00237563835760462	0.341797546801325
ENSMUSG00000000957	457	530	520	533	752	692	675	584	chr14:54431412-54441465	Mmp14	0.402063216300859	0.00238448534169213	0.341797546801325
ENSMUSG00000034898	378	411	360	318	529	789	487	498	chr9:79814851-79978004	Filip1	0.627296621797759	0.00238450732009716	0.341797546801325
ENSMUSG00000026399	327	395	337	290	200	284	222	213	chr1:130438827-130462944	Cd55	-0.556101229721874	0.00238746142240376	0.341797546801325
ENSMUSG00000108615	4	9	8	3	0	2	2	1	chr7:125547069-125548802	RP23-136A14.1	-1.93276219457784	0.00238860395739186	0.341797546801325
ENSMUSG00000036814	956	1559	716	726	417	612	496	231	chr9:123635922-123679085	Slc6a20a	-1.18062074806429	0.00239890443622853	0.341797546801325
ENSMUSG00000022664	1750	1570	1642	1461	1326	1317	1258	1312	chr16:45139373-45158906	Slc35a5	-0.298260835531976	0.00242455233550314	0.341797546801325
ENSMUSG00000031465	85	90	99	56	47	35	52	24	chr8:18690063-18741762	Angpt2	-1.09296865678113	0.0024337944890721	0.341797546801325
ENSMUSG00000074874	31	30	29	21	17	9	15	10	chr13:60895151-60897647	Ctla2b	-1.15373007838891	0.00244065463989829	0.341797546801325
ENSMUSG00000027712	1552	1982	2197	2143	1549	1446	1456	1148	chr3:36448723-36476094	Anxa5	-0.488222968893337	0.00245383717297572	0.341797546801325
ENSMUSG00000020695	387	498	309	304	231	242	222	119	chr11:105292443-105351339	Mrc2	-0.903693912235451	0.00245626623814838	0.341797546801325
ENSMUSG00000049103	17	18	17	14	11	6	4	2	chr9:124101750-124113757	Ccr2	-1.56965365226254	0.00247744771344412	0.341797546801325
